sample	strainID	genus	species	count	count_correct	replicate	day	measure_env	evolution_env
ANCMIX1_t0	HAMBI_0006	Pseudomonas	putida	435	347	A	0	none	anc
ANCMIX1_t0	HAMBI_0097	Acinetobacter	johnsonii	167	133	A	0	none	anc
ANCMIX1_t0	HAMBI_0105	Agrobacterium	tumefaciens	605	845	A	0	none	anc
ANCMIX1_t0	HAMBI_0262	Brevundimonas	bullata	405	755	A	0	none	anc
ANCMIX1_t0	HAMBI_0403	Comamonas	testosteroni	3576	2221	A	0	none	anc
ANCMIX1_t0	HAMBI_1279	Hafnia	alvei	1805	1441	A	0	none	anc
ANCMIX1_t0	HAMBI_1287	Citrobacter	koseri	1017	812	A	0	none	anc
ANCMIX1_t0	HAMBI_1292	Morganella	morganii	778	621	A	0	none	anc
ANCMIX1_t0	HAMBI_1299	Kluyvera	intermedia	1079	754	A	0	none	anc
ANCMIX1_t0	HAMBI_1842	Sphingobium	yanoikuyae	497	694	A	0	none	anc
ANCMIX1_t0	HAMBI_1896	Sphingobacterium	spiritivorum	1495	2089	A	0	none	anc
ANCMIX1_t0	HAMBI_1972	Aeromonas	caviae	1114	623	A	0	none	anc
ANCMIX1_t0	HAMBI_1977	Pseudomonas	chlororaphis	589	658	A	0	none	anc
ANCMIX1_t0	HAMBI_1988	Chitinophaga	sancti	566	633	A	0	none	anc
ANCMIX1_t0	HAMBI_2159	Trinickia	caryophylli	740	1034	A	0	none	anc
ANCMIX1_t0	HAMBI_2160	Bordetella	avium	320	596	A	0	none	anc
ANCMIX1_t0	HAMBI_2164	Cupriavidus	oxalaticus	224	250	A	0	none	anc
ANCMIX1_t0	HAMBI_2443	Paracoccus	denitrificans	172	320	A	0	none	anc
ANCMIX1_t0	HAMBI_2494	Paraburkholderia	kururiensis	431	602	A	0	none	anc
ANCMIX1_t0	HAMBI_2659	Stenotrophomonas	maltophilia	700	978	A	0	none	anc
ANCMIX1_t0	HAMBI_2792	Moraxella	canis	117	163	A	0	none	anc
ANCMIX1_t0	HAMBI_3031	Niabella	yanshanensis	157	439	A	0	none	anc
ANCMIX1_t0	HAMBI_3237	Microvirga	lotononidis	303	282	A	0	none	anc
ANCMIX2_t0	HAMBI_0006	Pseudomonas	putida	466	374	B	0	none	anc
ANCMIX2_t0	HAMBI_0097	Acinetobacter	johnsonii	194	156	B	0	none	anc
ANCMIX2_t0	HAMBI_0105	Agrobacterium	tumefaciens	686	963	B	0	none	anc
ANCMIX2_t0	HAMBI_0262	Brevundimonas	bullata	426	797	B	0	none	anc
ANCMIX2_t0	HAMBI_0403	Comamonas	testosteroni	3636	2268	B	0	none	anc
ANCMIX2_t0	HAMBI_1279	Hafnia	alvei	1819	1459	B	0	none	anc
ANCMIX2_t0	HAMBI_1287	Citrobacter	koseri	1060	850	B	0	none	anc
ANCMIX2_t0	HAMBI_1292	Morganella	morganii	827	663	B	0	none	anc
ANCMIX2_t0	HAMBI_1299	Kluyvera	intermedia	1124	789	B	0	none	anc
ANCMIX2_t0	HAMBI_1842	Sphingobium	yanoikuyae	513	720	B	0	none	anc
ANCMIX2_t0	HAMBI_1896	Sphingobacterium	spiritivorum	1479	2075	B	0	none	anc
ANCMIX2_t0	HAMBI_1972	Aeromonas	caviae	1109	622	B	0	none	anc
ANCMIX2_t0	HAMBI_1977	Pseudomonas	chlororaphis	650	730	B	0	none	anc
ANCMIX2_t0	HAMBI_1988	Chitinophaga	sancti	572	642	B	0	none	anc
ANCMIX2_t0	HAMBI_2159	Trinickia	caryophylli	766	1075	B	0	none	anc
ANCMIX2_t0	HAMBI_2160	Bordetella	avium	249	466	B	0	none	anc
ANCMIX2_t0	HAMBI_2164	Cupriavidus	oxalaticus	216	242	B	0	none	anc
ANCMIX2_t0	HAMBI_2443	Paracoccus	denitrificans	175	327	B	0	none	anc
ANCMIX2_t0	HAMBI_2494	Paraburkholderia	kururiensis	448	629	B	0	none	anc
ANCMIX2_t0	HAMBI_2659	Stenotrophomonas	maltophilia	650	912	B	0	none	anc
ANCMIX2_t0	HAMBI_2792	Moraxella	canis	127	178	B	0	none	anc
ANCMIX2_t0	HAMBI_3031	Niabella	yanshanensis	152	427	B	0	none	anc
ANCMIX2_t0	HAMBI_3237	Microvirga	lotononidis	294	275	B	0	none	anc
ANCMIX3_t0	HAMBI_0006	Pseudomonas	putida	575	459	C	0	none	anc
ANCMIX3_t0	HAMBI_0097	Acinetobacter	johnsonii	222	177	C	0	none	anc
ANCMIX3_t0	HAMBI_0105	Agrobacterium	tumefaciens	924	1290	C	0	none	anc
ANCMIX3_t0	HAMBI_0262	Brevundimonas	bullata	582	1083	C	0	none	anc
ANCMIX3_t0	HAMBI_0403	Comamonas	testosteroni	4274	2652	C	0	none	anc
ANCMIX3_t0	HAMBI_1279	Hafnia	alvei	2511	2003	C	0	none	anc
